Label,Message
spam,Deposit 0.01 BTC and get 10x back instantly: http://534.updatelink.co
spam,Invoice #44312 needs payment today. See details: http://732.gov-secure.net
ham,Have you seen the updated incident response flow?
ham,Don't forget the phishing awareness webinar on Thursday.
ham,I'm uploading the Q1 security audit report now.
spam,"YOU WON A LOTTERY! VERIFY YOUR ACCOUNT WITH OTP NOW!"
spam,"Claim your ₹10,00,000 prize. Enter OTP to transfer it to your account."
spam,"You've been selected for a cash reward. Share your OTP to receive it."
spam,"FINAL NOTICE: Lottery win confirmed. Verify using OTP: 483920"
spam,"Congrats! You're today's lucky winner. Enter OTP 732815 to collect ₹50,000."
spam,"Reward pending. Complete verification by entering OTP: 229184"
spam,"You have an unclaimed lottery. Provide your OTP to complete the process."
spam,"Cash prize from online draw! Confirm with OTP now."
spam,"Lottery alert! Your number was picked. Use OTP 679103 to receive ₹1Lakh."
spam,"Lucky you! Submit OTP to transfer your prize immediately."
ham,"Can you forward me the budget for Q2?"
ham,"I'll send over the slides after the call."
ham,"Did you see the internal announcement from HR?"
ham,"Need a hand with the deployment script later?"
ham,"Let’s catch up after the conference on Monday."
ham,Have you seen the updated incident response flow?
ham,Have you seen the updated incident response flow?
spam,Deposit 0.01 BTC and get 10x back instantly: http://780.claim-today.org
spam,Your mobile plan will expire soon. Renew now: http://340.auth-fix.com
ham,I'm uploading the Q1 security audit report now.
ham,Can you help troubleshoot the VPN connection later?
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://601.gov-secure.net"
ham,Thanks for reviewing the new device policy doc.
spam,Invoice #44312 needs payment today. See details: http://130.gov-secure.net
spam,Your mobile plan will expire soon. Renew now: http://378.auth-fix.com
ham,Can you help troubleshoot the VPN connection later?
spam,New sign-in from unknown device. Confirm identity: http://523.gov-secure.net
spam,IRS notice: You owe $134.18 in back taxes. Pay now to avoid legal action: http://581.cryptoearnings.biz
spam,Suspicious withdrawal of $1871.10 detected. Verify immediately: http://800.auth-fix.com
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://97.gov-secure.net
ham,Can you help troubleshoot the VPN connection later?
ham,I'm uploading the Q1 security audit report now.
ham,Have you seen the updated incident response flow?
ham,Meeting's moved to Friday — updating the calendar.
ham,Thanks for reviewing the new device policy doc.
ham,Can you help troubleshoot the VPN connection later?
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://522.updatelink.co"
ham,Meeting's moved to Friday — updating the calendar.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Thanks for reviewing the new device policy doc.
ham,"Hey, let's grab coffee after the team sync?"
ham,Can you help troubleshoot the VPN connection later?
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Deposit 0.01 BTC and get 10x back instantly: http://944.claim-today.org
spam,Suspicious SIM change detected. Review your account: http://212.cryptoearnings.biz
ham,Lunch is on me today if you’re free.
ham,I'm uploading the Q1 security audit report now.
spam,Your medical test results are in. View securely: http://960.auth-fix.com
spam,Earn free Bitcoin now. Only a few spots left: http://626.claim-today.org
spam,Earn free Bitcoin now. Only a few spots left: http://81.cryptoearnings.biz
ham,"Hey, let's grab coffee after the team sync?"
spam,Invoice #44312 needs payment today. See details: http://269.claim-today.org
ham,Have you seen the updated incident response flow?
ham,Thanks for reviewing the new device policy doc.
spam,Your mobile plan will expire soon. Renew now: http://98.updatelink.co
ham,I'll send the logs over after lunch.
spam,Reset your password now or lose access to your account: http://258.updatelink.co
ham,Meeting's moved to Friday — updating the calendar.
spam,Your tax return was flagged for fraud. Respond here: http://981.updatelink.co
ham,"Hey, let's grab coffee after the team sync?"
ham,Thanks for reviewing the new device policy doc.
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Your mobile plan will expire soon. Renew now: http://736.auth-fix.com
spam,Receipt for your $$2054.89 purchase is attached. Open here: http://47.cryptoearnings.biz
spam,Order #439315 cannot be delivered. Reschedule now: http://96.claim-today.org
spam,Receipt for your $$3710.65 purchase is attached. Open here: http://846.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
ham,I'm uploading the Q1 security audit report now.
ham,Can you help troubleshoot the VPN connection later?
spam,Order #518367 cannot be delivered. Reschedule now: http://727.auth-fix.com
ham,I'll send the logs over after lunch.
spam,Earn free Bitcoin now. Only a few spots left: http://723.cryptoearnings.biz
ham,Sending the final report to the SOC team now.
spam,Insurance claim denied. Appeal by clicking here: http://904.cryptoearnings.biz
ham,I'll send the logs over after lunch.
ham,Meeting's moved to Friday — updating the calendar.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Meeting's moved to Friday — updating the calendar.
spam,Your tax return was flagged for fraud. Respond here: http://972.claim-today.org
ham,Thanks for reviewing the new device policy doc.
ham,Thanks for reviewing the new device policy doc.
ham,Have you seen the updated incident response flow?
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Have you seen the updated incident response flow?
ham,Thanks for reviewing the new device policy doc.
ham,Can you help troubleshoot the VPN connection later?
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://745.gov-secure.net"
spam,You're the lucky winner of our sweepstakes. Confirm details: http://933.cryptoearnings.biz
spam,Your mobile plan will expire soon. Renew now: http://774.gov-secure.net
spam,Insurance claim denied. Appeal by clicking here: http://681.cryptoearnings.biz
spam,Reset your password now or lose access to your account: http://542.updatelink.co
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://817.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
spam,Your computer is infected! Call Microsoft Support now: http://638.updatelink.co
spam,Deposit 0.01 BTC and get 10x back instantly: http://577.claim-today.org
ham,Don't forget the phishing awareness webinar on Thursday.
ham,"Hey, let's grab coffee after the team sync?"
ham,Meeting's moved to Friday — updating the calendar.
spam,Your mobile plan will expire soon. Renew now: http://804.claim-today.org
spam,IRS notice: You owe $3593.27 in back taxes. Pay now to avoid legal action: http://48.updatelink.co
spam,You're the lucky winner of our sweepstakes. Confirm details: http://180.auth-fix.com
ham,I'll send the logs over after lunch.
spam,Your medical test results are in. View securely: http://391.gov-secure.net
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://184.claim-today.org"
ham,I'm uploading the Q1 security audit report now.
spam,Your computer is infected! Call Microsoft Support now: http://357.auth-fix.com
ham,Thanks for reviewing the new device policy doc.
spam,Suspicious SIM change detected. Review your account: http://606.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
spam,Insurance claim denied. Appeal by clicking here: http://250.cryptoearnings.biz
ham,I'll send the logs over after lunch.
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim now.
spam,URGENT: Your bank account has been compromised. Click here to secure it.
spam,"You have won a lottery of $500,000! Claim your prize now."
spam,Your PayPal account has been locked. Verify your identity to unlock it.
spam,You have been selected for a government grant. Click here to claim your money.
spam,Your Netflix subscription has expired. Update your payment details to continue.
spam,Your Amazon account has been suspended. Click here to verify your account.
spam,You have won an iPhone 14! Click here to claim your prize.
spam,Your Social Security Number has been compromised. Click here to secure it.
spam,Your Google account has been hacked. Click here to recover it.
ham,"Hey, are we still meeting for lunch today?"
ham,Can you send me the notes from yesterday's meeting?
ham,Don't forget to submit the report by tomorrow.
ham,Let's catch up over coffee this weekend.
ham,The project deadline has been extended to next Friday.
ham,I'll be late for the meeting. Start without me.
ham,Can you pick up some groceries on your way home?
ham,Let me know if you need help with the presentation.
ham,The weather is nice today. Want to go for a walk?
ham,I found a great recipe for pasta. Let's try it tonight.
ham,"Hey, let's grab coffee after the team sync?"
spam,Suspicious SIM change detected. Review your account: http://856.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Meeting's moved to Friday — updating the calendar.
ham,I'm uploading the Q1 security audit report now.
spam,Earn free Bitcoin now. Only a few spots left: http://118.updatelink.co
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://925.auth-fix.com"
ham,I'm uploading the Q1 security audit report now.
ham,Thanks for reviewing the new device policy doc.
spam,Your tax return was flagged for fraud. Respond here: http://202.claim-today.org
spam,Suspicious withdrawal of $1367.49 detected. Verify immediately: http://566.auth-fix.com
ham,Have you seen the updated incident response flow?
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://591.cryptoearnings.biz
ham,I'll send the logs over after lunch.
ham,Can you help troubleshoot the VPN connection later?
spam,You're the lucky winner of our sweepstakes. Confirm details: http://898.updatelink.co
ham,Sending the final report to the SOC team now.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Meeting's moved to Friday — updating the calendar.
